,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
52940,2020-01-03,IN,India,SEARO,0,0,0,0
52941,2020-01-04,IN,India,SEARO,0,0,0,0
52942,2020-01-05,IN,India,SEARO,0,0,0,0
52943,2020-01-06,IN,India,SEARO,0,0,0,0
52944,2020-01-07,IN,India,SEARO,0,0,0,0
52945,2020-01-08,IN,India,SEARO,0,0,0,0
52946,2020-01-09,IN,India,SEARO,0,0,0,0
52947,2020-01-10,IN,India,SEARO,0,0,0,0
52948,2020-01-11,IN,India,SEARO,0,0,0,0
52949,2020-01-12,IN,India,SEARO,0,0,0,0
52950,2020-01-13,IN,India,SEARO,0,0,0,0
52951,2020-01-14,IN,India,SEARO,0,0,0,0
52952,2020-01-15,IN,India,SEARO,0,0,0,0
52953,2020-01-16,IN,India,SEARO,0,0,0,0
52954,2020-01-17,IN,India,SEARO,0,0,0,0
52955,2020-01-18,IN,India,SEARO,0,0,0,0
52956,2020-01-19,IN,India,SEARO,0,0,0,0
52957,2020-01-20,IN,India,SEARO,0,0,0,0
52958,2020-01-21,IN,India,SEARO,0,0,0,0
52959,2020-01-22,IN,India,SEARO,0,0,0,0
52960,2020-01-23,IN,India,SEARO,0,0,0,0
52961,2020-01-24,IN,India,SEARO,0,0,0,0
52962,2020-01-25,IN,India,SEARO,0,0,0,0
52963,2020-01-26,IN,India,SEARO,0,0,0,0
52964,2020-01-27,IN,India,SEARO,0,0,0,0
52965,2020-01-28,IN,India,SEARO,0,0,0,0
52966,2020-01-29,IN,India,SEARO,0,0,0,0
52967,2020-01-30,IN,India,SEARO,1,1,0,0
52968,2020-01-31,IN,India,SEARO,4,5,0,0
52969,2020-02-01,IN,India,SEARO,0,5,0,0
52970,2020-02-02,IN,India,SEARO,-3,2,0,0
52971,2020-02-03,IN,India,SEARO,1,3,0,0
52972,2020-02-04,IN,India,SEARO,4,7,0,0
52973,2020-02-05,IN,India,SEARO,0,7,0,0
52974,2020-02-06,IN,India,SEARO,0,7,0,0
52975,2020-02-07,IN,India,SEARO,0,7,0,0
52976,2020-02-08,IN,India,SEARO,0,7,0,0
52977,2020-02-09,IN,India,SEARO,0,7,0,0
52978,2020-02-10,IN,India,SEARO,0,7,0,0
52979,2020-02-11,IN,India,SEARO,0,7,0,0
52980,2020-02-12,IN,India,SEARO,0,7,0,0
52981,2020-02-13,IN,India,SEARO,0,7,0,0
52982,2020-02-14,IN,India,SEARO,0,7,0,0
52983,2020-02-15,IN,India,SEARO,0,7,0,0
52984,2020-02-16,IN,India,SEARO,0,7,0,0
52985,2020-02-17,IN,India,SEARO,0,7,0,0
52986,2020-02-18,IN,India,SEARO,0,7,0,0
52987,2020-02-19,IN,India,SEARO,0,7,0,0
52988,2020-02-20,IN,India,SEARO,0,7,0,0
52989,2020-02-21,IN,India,SEARO,0,7,0,0
52990,2020-02-22,IN,India,SEARO,0,7,0,0
52991,2020-02-23,IN,India,SEARO,0,7,0,0
52992,2020-02-24,IN,India,SEARO,0,7,0,0
52993,2020-02-25,IN,India,SEARO,0,7,0,0
52994,2020-02-26,IN,India,SEARO,0,7,0,0
52995,2020-02-27,IN,India,SEARO,0,7,0,0
52996,2020-02-28,IN,India,SEARO,0,7,0,0
52997,2020-02-29,IN,India,SEARO,0,7,0,0
52998,2020-03-01,IN,India,SEARO,0,7,0,0
52999,2020-03-02,IN,India,SEARO,-2,5,0,0
53000,2020-03-03,IN,India,SEARO,4,9,0,0
53001,2020-03-04,IN,India,SEARO,19,28,0,0
53002,2020-03-05,IN,India,SEARO,1,29,0,0
53003,2020-03-06,IN,India,SEARO,2,31,0,0
53004,2020-03-07,IN,India,SEARO,3,34,0,0
53005,2020-03-08,IN,India,SEARO,5,39,0,0
53006,2020-03-09,IN,India,SEARO,5,44,0,0
53007,2020-03-10,IN,India,SEARO,6,50,0,0
53008,2020-03-11,IN,India,SEARO,10,60,0,0
53009,2020-03-12,IN,India,SEARO,13,73,0,0
53010,2020-03-13,IN,India,SEARO,8,81,1,1
53011,2020-03-14,IN,India,SEARO,3,84,1,2
53012,2020-03-15,IN,India,SEARO,23,107,0,2
53013,2020-03-16,IN,India,SEARO,7,114,0,2
53014,2020-03-17,IN,India,SEARO,23,137,1,3
53015,2020-03-18,IN,India,SEARO,14,151,0,3
53016,2020-03-19,IN,India,SEARO,22,173,1,4
53017,2020-03-20,IN,India,SEARO,50,223,0,4
53018,2020-03-21,IN,India,SEARO,60,283,0,4
53019,2020-03-22,IN,India,SEARO,77,360,3,7
53020,2020-03-23,IN,India,SEARO,74,434,2,9
53021,2020-03-24,IN,India,SEARO,85,519,0,9
53022,2020-03-25,IN,India,SEARO,87,606,1,10
53023,2020-03-26,IN,India,SEARO,43,649,3,13
53024,2020-03-27,IN,India,SEARO,75,724,4,17
53025,2020-03-28,IN,India,SEARO,185,909,2,19
53026,2020-03-29,IN,India,SEARO,70,979,6,25
53027,2020-03-30,IN,India,SEARO,92,1071,4,29
53028,2020-03-31,IN,India,SEARO,180,1251,3,32
53029,2020-04-01,IN,India,SEARO,386,1637,6,38
53030,2020-04-02,IN,India,SEARO,328,1965,12,50
53031,2020-04-03,IN,India,SEARO,336,2301,6,56
53032,2020-04-04,IN,India,SEARO,601,2902,12,68
53033,2020-04-05,IN,India,SEARO,472,3374,9,77
53034,2020-04-06,IN,India,SEARO,693,4067,32,109
53035,2020-04-07,IN,India,SEARO,354,4421,5,114
53036,2020-04-08,IN,India,SEARO,853,5274,35,149
53037,2020-04-09,IN,India,SEARO,591,5865,20,169
53038,2020-04-10,IN,India,SEARO,547,6412,30,199
53039,2020-04-11,IN,India,SEARO,1035,7447,40,239
53040,2020-04-12,IN,India,SEARO,909,8356,34,273
53041,2020-04-13,IN,India,SEARO,796,9152,35,308
53042,2020-04-14,IN,India,SEARO,1211,10363,31,339
53043,2020-04-15,IN,India,SEARO,1076,11439,38,377
53044,2020-04-16,IN,India,SEARO,941,12380,37,414
53045,2020-04-17,IN,India,SEARO,1007,13387,23,437
53046,2020-04-18,IN,India,SEARO,991,14378,43,480
53047,2020-04-19,IN,India,SEARO,1334,15712,27,507
53048,2020-04-20,IN,India,SEARO,1553,17265,36,543
53049,2020-04-21,IN,India,SEARO,1336,18601,47,590
53050,2020-04-22,IN,India,SEARO,1383,19984,50,640
53051,2020-04-23,IN,India,SEARO,1409,21393,41,681
53052,2020-04-24,IN,India,SEARO,1684,23077,37,718
53053,2020-04-25,IN,India,SEARO,1429,24506,57,775
53054,2020-04-26,IN,India,SEARO,1990,26496,49,824
53055,2020-04-27,IN,India,SEARO,1396,27892,48,872
53056,2020-04-28,IN,India,SEARO,1543,29435,62,934
53057,2020-04-29,IN,India,SEARO,1897,31332,73,1007
53058,2020-04-30,IN,India,SEARO,1718,33050,67,1074
53059,2020-05-01,IN,India,SEARO,1993,35043,73,1147
53060,2020-05-02,IN,India,SEARO,2293,37336,71,1218
53061,2020-05-03,IN,India,SEARO,2644,39980,83,1301
53062,2020-05-04,IN,India,SEARO,2553,42533,72,1373
53063,2020-05-05,IN,India,SEARO,3900,46433,195,1568
53064,2020-05-06,IN,India,SEARO,2958,49391,126,1694
53065,2020-05-07,IN,India,SEARO,3561,52952,89,1783
53066,2020-05-08,IN,India,SEARO,3390,56342,103,1886
53067,2020-05-09,IN,India,SEARO,3320,59662,95,1981
53068,2020-05-10,IN,India,SEARO,3277,62939,128,2109
53069,2020-05-11,IN,India,SEARO,4213,67152,97,2206
53070,2020-05-12,IN,India,SEARO,3604,70756,87,2293
53071,2020-05-13,IN,India,SEARO,3525,74281,122,2415
53072,2020-05-14,IN,India,SEARO,3722,78003,134,2549
53073,2020-05-15,IN,India,SEARO,3967,81970,100,2649
53074,2020-05-16,IN,India,SEARO,3970,85940,103,2752
53075,2020-05-17,IN,India,SEARO,4987,90927,120,2872
53076,2020-05-18,IN,India,SEARO,5242,96169,157,3029
53077,2020-05-19,IN,India,SEARO,4970,101139,134,3163
53078,2020-05-20,IN,India,SEARO,5611,106750,140,3303
53079,2020-05-21,IN,India,SEARO,5609,112359,132,3435
53080,2020-05-22,IN,India,SEARO,6088,118447,148,3583
53081,2020-05-23,IN,India,SEARO,6654,125101,137,3720
53082,2020-05-24,IN,India,SEARO,6767,131868,147,3867
53083,2020-05-25,IN,India,SEARO,6977,138845,154,4021
53084,2020-05-26,IN,India,SEARO,6535,145380,146,4167
53085,2020-05-27,IN,India,SEARO,6387,151767,170,4337
53086,2020-05-28,IN,India,SEARO,6566,158333,194,4531
53087,2020-05-29,IN,India,SEARO,7466,165799,175,4706
53088,2020-05-30,IN,India,SEARO,7964,173763,265,4971
53089,2020-05-31,IN,India,SEARO,8380,182143,193,5164
53090,2020-06-01,IN,India,SEARO,8392,190535,230,5394
53091,2020-06-02,IN,India,SEARO,8171,198706,204,5598
53092,2020-06-03,IN,India,SEARO,8909,207615,217,5815
53093,2020-06-04,IN,India,SEARO,9304,216919,260,6075
53094,2020-06-05,IN,India,SEARO,9851,226770,273,6348
53095,2020-06-06,IN,India,SEARO,9887,236657,294,6642
53096,2020-06-07,IN,India,SEARO,9971,246628,287,6929
53097,2020-06-08,IN,India,SEARO,9983,256611,271,7200
53098,2020-06-09,IN,India,SEARO,9987,266598,271,7471
53099,2020-06-10,IN,India,SEARO,9985,276583,274,7745
53100,2020-06-11,IN,India,SEARO,9996,286579,357,8102
53101,2020-06-12,IN,India,SEARO,10956,297535,396,8498
53102,2020-06-13,IN,India,SEARO,11458,308993,386,8884
53103,2020-06-14,IN,India,SEARO,11929,320922,311,9195
53104,2020-06-15,IN,India,SEARO,11502,332424,325,9520
53105,2020-06-16,IN,India,SEARO,10667,343091,380,9900
53106,2020-06-17,IN,India,SEARO,10974,354065,2003,11903
53107,2020-06-18,IN,India,SEARO,12881,366946,334,12237
53108,2020-06-19,IN,India,SEARO,13586,380532,336,12573
53109,2020-06-20,IN,India,SEARO,14516,395048,375,12948
53110,2020-06-21,IN,India,SEARO,15413,410461,306,13254
53111,2020-06-22,IN,India,SEARO,14821,425282,445,13699
53112,2020-06-23,IN,India,SEARO,14933,440215,312,14011
53113,2020-06-24,IN,India,SEARO,15968,456183,465,14476
53114,2020-06-25,IN,India,SEARO,16922,473105,418,14894
53115,2020-06-26,IN,India,SEARO,17296,490401,407,15301
53116,2020-06-27,IN,India,SEARO,18552,508953,384,15685
53117,2020-06-28,IN,India,SEARO,19906,528859,410,16095
53118,2020-06-29,IN,India,SEARO,19459,548318,380,16475
53119,2020-06-30,IN,India,SEARO,18522,566840,418,16893
53120,2020-07-01,IN,India,SEARO,18653,585493,507,17400
53121,2020-07-02,IN,India,SEARO,19148,604641,434,17834
53122,2020-07-03,IN,India,SEARO,20903,625544,379,18213
53123,2020-07-04,IN,India,SEARO,22771,648315,442,18655
53124,2020-07-05,IN,India,SEARO,24850,673165,613,19268
53125,2020-07-06,IN,India,SEARO,24248,697413,425,19693
53126,2020-07-07,IN,India,SEARO,22252,719665,467,20160
53127,2020-07-08,IN,India,SEARO,22752,742417,482,20642
53128,2020-07-09,IN,India,SEARO,24879,767296,487,21129
53129,2020-07-10,IN,India,SEARO,26506,793802,475,21604
53130,2020-07-11,IN,India,SEARO,27114,820916,519,22123
53131,2020-07-12,IN,India,SEARO,28637,849553,551,22674
53132,2020-07-13,IN,India,SEARO,28701,878254,500,23174
53133,2020-07-14,IN,India,SEARO,28498,906752,553,23727
53134,2020-07-15,IN,India,SEARO,29429,936181,582,24309
53135,2020-07-16,IN,India,SEARO,32695,968876,606,24915
53136,2020-07-17,IN,India,SEARO,34956,1003832,687,25602
53137,2020-07-18,IN,India,SEARO,34884,1038716,671,26273
53138,2020-07-19,IN,India,SEARO,38902,1077618,543,26816
53139,2020-07-20,IN,India,SEARO,40425,1118043,681,27497
53140,2020-07-21,IN,India,SEARO,37148,1155191,587,28084
53141,2020-07-22,IN,India,SEARO,37724,1192915,648,28732
53142,2020-07-23,IN,India,SEARO,45720,1238635,1129,29861
53143,2020-07-24,IN,India,SEARO,49310,1287945,740,30601
53144,2020-07-25,IN,India,SEARO,48916,1336861,757,31358
53145,2020-07-26,IN,India,SEARO,48661,1385522,705,32063
53146,2020-07-27,IN,India,SEARO,49931,1435453,708,32771
53147,2020-07-28,IN,India,SEARO,47703,1483156,654,33425
53148,2020-07-29,IN,India,SEARO,48513,1531669,768,34193
53149,2020-07-30,IN,India,SEARO,52123,1583792,775,34968
53150,2020-07-31,IN,India,SEARO,55078,1638870,779,35747
53151,2020-08-01,IN,India,SEARO,57118,1695988,764,36511
53152,2020-08-02,IN,India,SEARO,54735,1750723,853,37364
53153,2020-08-03,IN,India,SEARO,52972,1803695,771,38135
53154,2020-08-04,IN,India,SEARO,52050,1855745,803,38938
53155,2020-08-05,IN,India,SEARO,52509,1908254,857,39795
53156,2020-08-06,IN,India,SEARO,56282,1964536,904,40699
53157,2020-08-07,IN,India,SEARO,62538,2027074,886,41585
53158,2020-08-08,IN,India,SEARO,61537,2088611,933,42518
53159,2020-08-09,IN,India,SEARO,64399,2153010,861,43379
53160,2020-08-10,IN,India,SEARO,62064,2215074,1007,44386
53161,2020-08-11,IN,India,SEARO,53601,2268675,871,45257
53162,2020-08-12,IN,India,SEARO,60963,2329638,834,46091
53163,2020-08-13,IN,India,SEARO,66999,2396637,942,47033
53164,2020-08-14,IN,India,SEARO,64553,2461190,1007,48040
53165,2020-08-15,IN,India,SEARO,65002,2526192,996,49036
53166,2020-08-16,IN,India,SEARO,63490,2589682,944,49980
53167,2020-08-17,IN,India,SEARO,57981,2647663,941,50921
53168,2020-08-18,IN,India,SEARO,55079,2702742,876,51797
53169,2020-08-19,IN,India,SEARO,64531,2767273,1092,52889
53170,2020-08-20,IN,India,SEARO,69652,2836925,977,53866
53171,2020-08-21,IN,India,SEARO,68898,2905823,983,54849
53172,2020-08-22,IN,India,SEARO,69878,2975701,945,55794
53173,2020-08-23,IN,India,SEARO,69239,3044940,912,56706
53174,2020-08-24,IN,India,SEARO,61408,3106348,836,57542
53175,2020-08-25,IN,India,SEARO,60975,3167323,848,58390
53176,2020-08-26,IN,India,SEARO,67151,3234474,1059,59449
53177,2020-08-27,IN,India,SEARO,75760,3310234,1023,60472
53178,2020-08-28,IN,India,SEARO,77266,3387500,1057,61529
53179,2020-08-29,IN,India,SEARO,76472,3463972,1021,62550
53180,2020-08-30,IN,India,SEARO,78761,3542733,948,63498
53181,2020-08-31,IN,India,SEARO,78512,3621245,971,64469
53182,2020-09-01,IN,India,SEARO,69921,3691166,819,65288
53183,2020-09-02,IN,India,SEARO,78357,3769523,1045,66333
53184,2020-09-03,IN,India,SEARO,83883,3853406,1043,67376
53185,2020-09-04,IN,India,SEARO,83341,3936747,1096,68472
53186,2020-09-05,IN,India,SEARO,86432,4023179,1089,69561
53187,2020-09-06,IN,India,SEARO,90632,4113811,1065,70626
53188,2020-09-07,IN,India,SEARO,90802,4204613,1016,71642
53189,2020-09-08,IN,India,SEARO,75809,4280422,1133,72775
53190,2020-09-09,IN,India,SEARO,89706,4370128,1115,73890
53191,2020-09-10,IN,India,SEARO,95735,4465863,1172,75062
53192,2020-09-11,IN,India,SEARO,96551,4562414,1209,76271
53193,2020-09-12,IN,India,SEARO,97570,4659984,1201,77472
53194,2020-09-13,IN,India,SEARO,94372,4754356,1114,78586
53195,2020-09-14,IN,India,SEARO,92071,4846427,1136,79722
53196,2020-09-15,IN,India,SEARO,83809,4930236,1054,80776
53197,2020-09-16,IN,India,SEARO,90123,5020359,1290,82066
53198,2020-09-17,IN,India,SEARO,97894,5118253,1132,83198
53199,2020-09-18,IN,India,SEARO,96424,5214677,1174,84372
53200,2020-09-19,IN,India,SEARO,93337,5308014,1247,85619
53201,2020-09-20,IN,India,SEARO,92605,5400619,1133,86752
53202,2020-09-21,IN,India,SEARO,86961,5487580,1130,87882
53203,2020-09-22,IN,India,SEARO,75083,5562663,1053,88935
53204,2020-09-23,IN,India,SEARO,83347,5646010,1085,90020
53205,2020-09-24,IN,India,SEARO,86508,5732518,1129,91149
53206,2020-09-25,IN,India,SEARO,86052,5818570,1141,92290
53207,2020-09-26,IN,India,SEARO,85362,5903932,1089,93379
53208,2020-09-27,IN,India,SEARO,88600,5992532,1124,94503
53209,2020-09-28,IN,India,SEARO,82170,6074702,1039,95542
53210,2020-09-29,IN,India,SEARO,70589,6145291,776,96318
53211,2020-09-30,IN,India,SEARO,80472,6225763,1179,97497
53212,2020-10-01,IN,India,SEARO,86821,6312584,1181,98678
53213,2020-10-02,IN,India,SEARO,81484,6394068,1095,99773
53214,2020-10-03,IN,India,SEARO,79476,6473544,1069,100842
53215,2020-10-04,IN,India,SEARO,75829,6549373,940,101782
53216,2020-10-05,IN,India,SEARO,74442,6623815,903,102685
53217,2020-10-06,IN,India,SEARO,61267,6685082,884,103569
53218,2020-10-07,IN,India,SEARO,72049,6757131,986,104555
53219,2020-10-08,IN,India,SEARO,78524,6835655,971,105526
53220,2020-10-09,IN,India,SEARO,70496,6906151,964,106490
53221,2020-10-10,IN,India,SEARO,73272,6979423,926,107416
53222,2020-10-11,IN,India,SEARO,74383,7053806,918,108334
53223,2020-10-12,IN,India,SEARO,66732,7120538,816,109150
53224,2020-10-13,IN,India,SEARO,55342,7175880,706,109856
53225,2020-10-14,IN,India,SEARO,63509,7239389,730,110586
53226,2020-10-15,IN,India,SEARO,67708,7307097,680,111266
53227,2020-10-16,IN,India,SEARO,63371,7370468,895,112161
53228,2020-10-17,IN,India,SEARO,62212,7432680,837,112998
53229,2020-10-18,IN,India,SEARO,61871,7494551,1033,114031
53230,2020-10-19,IN,India,SEARO,55722,7550273,579,114610
53231,2020-10-20,IN,India,SEARO,46790,7597063,587,115197
53232,2020-10-21,IN,India,SEARO,54044,7651107,717,115914
53233,2020-10-22,IN,India,SEARO,55839,7706946,702,116616
53234,2020-10-23,IN,India,SEARO,54366,7761312,690,117306
53235,2020-10-24,IN,India,SEARO,53370,7814682,650,117956
53236,2020-10-25,IN,India,SEARO,50129,7864811,578,118534
53237,2020-10-26,IN,India,SEARO,45148,7909959,480,119014
53238,2020-10-27,IN,India,SEARO,36470,7946429,488,119502
53239,2020-10-28,IN,India,SEARO,43893,7990322,508,120010
53240,2020-10-29,IN,India,SEARO,49881,8040203,517,120527
53241,2020-10-30,IN,India,SEARO,48648,8088851,563,121090
53242,2020-10-31,IN,India,SEARO,48268,8137119,551,121641
53243,2020-11-01,IN,India,SEARO,46963,8184082,470,122111
53244,2020-11-02,IN,India,SEARO,45231,8229313,496,122607
53245,2020-11-03,IN,India,SEARO,38310,8267623,490,123097
53246,2020-11-04,IN,India,SEARO,46253,8313876,514,123611
53247,2020-11-05,IN,India,SEARO,50210,8364086,704,124315
53248,2020-11-06,IN,India,SEARO,47638,8411724,670,124985
53249,2020-11-07,IN,India,SEARO,50356,8462080,577,125562
53250,2020-11-08,IN,India,SEARO,45674,8507754,559,126121
53251,2020-11-09,IN,India,SEARO,45903,8553657,490,126611
53252,2020-11-10,IN,India,SEARO,38073,8591730,448,127059
53253,2020-11-11,IN,India,SEARO,44281,8636011,512,127571
53254,2020-11-12,IN,India,SEARO,47905,8683916,550,128121
53255,2020-11-13,IN,India,SEARO,44879,8728795,547,128668
53256,2020-11-14,IN,India,SEARO,44684,8773479,520,129188
53257,2020-11-15,IN,India,SEARO,41100,8814579,447,129635
53258,2020-11-16,IN,India,SEARO,30548,8845127,435,130070
53259,2020-11-17,IN,India,SEARO,29163,8874290,449,130519
53260,2020-11-18,IN,India,SEARO,38617,8912907,474,130993
53261,2020-11-19,IN,India,SEARO,45576,8958483,585,131578
53262,2020-11-20,IN,India,SEARO,45882,9004365,584,132162
53263,2020-11-21,IN,India,SEARO,46232,9050597,564,132726
53264,2020-11-22,IN,India,SEARO,45209,9095806,501,133227
53265,2020-11-23,IN,India,SEARO,44059,9139865,511,133738
53266,2020-11-24,IN,India,SEARO,37975,9177840,480,134218
53267,2020-11-25,IN,India,SEARO,44376,9222216,481,134699
53268,2020-11-26,IN,India,SEARO,44489,9266705,524,135223
53269,2020-11-27,IN,India,SEARO,43082,9309787,492,135715
53270,2020-11-28,IN,India,SEARO,41322,9351109,485,136200
53271,2020-11-29,IN,India,SEARO,41810,9392919,496,136696
53272,2020-11-30,IN,India,SEARO,38772,9431691,443,137139
53273,2020-12-01,IN,India,SEARO,31118,9462809,482,137621
53274,2020-12-02,IN,India,SEARO,36604,9499413,501,138122
53275,2020-12-03,IN,India,SEARO,35551,9534964,526,138648
53276,2020-12-04,IN,India,SEARO,36595,9571559,540,139188
53277,2020-12-05,IN,India,SEARO,36652,9608211,512,139700
53278,2020-12-06,IN,India,SEARO,36011,9644222,482,140182
53279,2020-12-07,IN,India,SEARO,32981,9677203,391,140573
53280,2020-12-08,IN,India,SEARO,26567,9703770,385,140958
53281,2020-12-09,IN,India,SEARO,32080,9735850,402,141360
53282,2020-12-10,IN,India,SEARO,31521,9767371,412,141772
53283,2020-12-11,IN,India,SEARO,29398,9796769,414,142186
53284,2020-12-12,IN,India,SEARO,30006,9826775,442,142628
53285,2020-12-13,IN,India,SEARO,30254,9857029,391,143019
53286,2020-12-14,IN,India,SEARO,27071,9884100,336,143355
53287,2020-12-15,IN,India,SEARO,22065,9906165,354,143709
53288,2020-12-16,IN,India,SEARO,26382,9932547,387,144096
53289,2020-12-17,IN,India,SEARO,24010,9956557,355,144451
53290,2020-12-18,IN,India,SEARO,22890,9979447,338,144789
